Species,herbarium voucher,GenBankAccession number,resprouting_capacity,soil_type,calyx_type,pod_thickness,root_type,pollination_syndrome,sort
Gompholobium minus Sm.,MDC9153,AY233086,resprouts,other_soils,,,unistelar_roots,,1
Gompholobium obcordatum Turcz.,MDC9031,AF287659,fire_killed,laterite,,,unistelar_roots,,2
Gompholobium villosum (Meisn.) Crisp,MDC8951,AF287658,fire_killed,laterite,,,unistelar_roots,,3
Erichsenia uncinata Hemsl.,MDC8524,AF287663,fire_killed,laterite,,,unistelar_roots,,4
Viminaria juncea (SchraDaviesia) Hoffmanns.,MDC8935,AF287664,fire_killed,other_soils,,,unistelar_roots,,5
Sphaerolobium nudiflorum (Meisn.) Benth.,RB891,AF518102,resprouts,laterite,,,unistelar_roots,,6
Sphaerolobium medium R. Br.,MDC8942,AF287660,resprouts,laterite,,,unistelar_roots,,7
Sphaerolobium minus Labill.,MDC9154,AF518101,fire_killed,other_soils,,,unistelar_roots,,8
Daviesia acicularis Sm.,MDC9119,AY233087,fire_killed,other_soils,regular_calyx,,unistelar_roots,bee,12
Daviesia alternifolia Endl.,MDC8967,AY233088,resprouts,laterite,lipped_calyx,,unistelar_roots,bee,17
Daviesia anceps Turcz.,MDC8992,AY233089,resprouts,laterite,,,cord_roots,bee,9
Daviesia angulata Benth.,MDC9241,AY233090,resprouts,laterite,,thick_pod,cord_roots,bee,36
Daviesia arborea W. Hill,MDC9167,AY233091,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,25
Daviesia articulata Crisp,MDC8999,AY233092,fire_killed,other_soils,,,unistelar_roots,bee,44
Daviesia benthamii Meisn. subsp. benthamii,MDC8995,AY233093,fire_killed,other_soils,,,unistelar_roots,bee,45
Daviesia brachyphylla Meisn.,MDC9181,AY233095,resprouts,laterite,,thick_pod,cord_roots,bee,40
Daviesia buxifolia Benth.,MDC9136,AY233096,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,27
Daviesia chapmanii Crisp,MDC9247,AY233097,resprouts,laterite,,thick_pod,cord_roots,bee,37
Daviesia cordata Sm.,MDC8908,AY233098,fire_killed,laterite,lipped_calyx,,unistelar_roots,bee,18
Daviesia corymbosa Sm.,MDC9124,AY233099,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,23
Daviesia daphnoides Meisn.,MDC9013,AY233100,fire_killed,laterite,,thick_pod,cord_roots,bee,33
Daviesia decurrens Meisn.,MDC9008,AY233101,resprouts,laterite,,,cord_roots,bee,53
Daviesia dilatata Crisp,MDC8989,AY233102,resprouts,laterite,,thick_pod,cord_roots,bee,38
Daviesia divaricata Benth.,MDC8941,AY233103,resprouts,other_soils,lipped_calyx,,unistelar_roots,bee,16
Daviesia elliptica Crisp,MDC9051,AF518099,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,29
Daviesia emarginata (Miq.) Crisp,MDC8962,AY233104,fire_killed,laterite,,thick_pod,cord_roots,bee,34
Daviesia epiphyllum Meisn.,MDC9245,AY233105,resprouts,laterite,,,cord_roots,bird,51
Daviesia flexuosa Benth.,MDC8976,AY233106,resprouts,laterite,,thick_pod,cord_roots,bee,31
Daviesia genistifolia Cunn. ex Benth.,MDC9142,AY233107,resprouts,other_soils,,,unistelar_roots,bee,46
Daviesia gracilis Crisp,MDC8953,AY233108,resprouts,laterite,,,unistelar_roots,bee,48
Daviesia incrassata Sm. subsp. incrassata,MDC9174,AY233109,resprouts,laterite,,thick_pod,cord_roots,bee,42
Daviesia latifolia R. Br.,MDC9130,AY233110,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,30
Daviesia leptophylla A. Cunn. ex G. Don,MDC9145,AY233111,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,26
Daviesia megacalyx Crisp,MDC8986,AY233112,fire_killed,laterite,,,cord_roots,bee,49
Daviesia mimosoides R. Br.,MDC9151,AY233113,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,28
Daviesia mollis Turcz.,MDC8988,AY233114,resprouts,laterite,lipped_calyx,,unistelar_roots,bee,20
Daviesia nematophylla F. Muell. ex Benth.,MDC8984,AY233115,fire_killed,other_soils,,,unistelar_roots,bee,43
Daviesia nova-anglica Crisp,MDC9137,AY233116,fire_killed,other_soils,lipped_calyx,,unistelar_roots,bee,24
Daviesia nudiflora Meisn. subsp. amplectens Crisp,MDC9034,AY233117,resprouts,laterite,lipped_calyx,,unistelar_roots,bee,21
Daviesia obovata Turcz.,MDC8948,AY233118,fire_killed,other_soils,,,cord_roots,bee,50
Daviesia pachyloma Turcz.,MDC9025,AF287662,resprouts,laterite,,,cord_roots,bee,10
Daviesia pachyphylla F. Muell.,MDC8985,AY233119,resprouts,laterite,,thick_pod,cord_roots,bee,32
Daviesia physodes A. Cunn. ex G. Don,MDC8940,AY233094,resprouts,laterite,,thick_pod,cord_roots,bee,41
Daviesia podophylla Crisp,MDC9244,AY233120,fire_killed,laterite,,thick_pod,cord_roots,bee,39
Daviesia rhombifolia Meisn.,MDC8913,AY233121,resprouts,laterite,lipped_calyx,,unistelar_roots,bee,19
Daviesia rubiginosa Crisp,MDC9001,AY233122,fire_killed,other_soils,,,cord_roots,bee,47
Daviesia smithiorum Crisp,MDC9029,AY233123,resprouts,laterite,,,unistelar_roots,bee,54
Daviesia speciosa Crisp,MDC9017,AY233124,resprouts,laterite,,,cord_roots,bird,52
Daviesia spiralis Crisp,MDC9024,AY233125,resprouts,laterite,lipped_calyx,,unistelar_roots,bee,22
Daviesia teretifolia R. Br. ex Benth.,MDC8987,AY233126,fire_killed,laterite,,thick_pod,cord_roots,bee,35
Daviesia ulicifolia Andrews subsp. ulicifolia,MDC9115,AF518100,resprouts,other_soils,regular_calyx,,unistelar_roots,bee,15
Daviesia ulicifolia subsp. ruscifolia (A. Cunn. ex Benth.) G. Chandler & Crisp,MDC9149,AY233127,resprouts,other_soils,regular_calyx,,unistelar_roots,bee,13
Daviesia ulicifolia subsp. stenophylla G. Chandler & Crisp,MDC9117,AY233128,resprouts,other_soils,regular_calyx,,unistelar_roots,bee,14
Daviesia wyattiana F. M. Bailey,MDC9160,AY233129,fire_killed,other_soils,regular_calyx,,unistelar_roots,bee,11
