"site_name","trait_name","unit","value"
"syd_hiP","soil total P","ppm","442.3"
"syd_loP","soil total P","ppm","93.6"
"wnsw_hiP","soil total P","ppm","250.4"
"wnsw_loP","soil total P","ppm","132.4"
"syd_hiP","soil total N","%","0.256"
"syd_loP","soil total N","%","0.03"
"wnsw_hiP","soil total N","%","0.071"
"wnsw_loP","soil total N","%","0.031"
"syd_hiP","soil total C","%","5.91"
"syd_loP","soil total C","%","0.95"
"wnsw_hiP","soil total C","%","1.2"
"wnsw_loP","soil total C","%","0.67"
"syd_hiP","cation exchange capacity","meq/kg","55.6"
"syd_loP","cation exchange capacity","meq/kg","9"
"wnsw_hiP","cation exchange capacity","meq/kg","65.8"
"wnsw_loP","cation exchange capacity","meq/kg","38.7"
